序号	型号	说明	价格
二通水阀		
1	V5011N1040/U	2-way, 1/2" (DN15), Application Water	2603
2	V5011N1057/U	2-way, 3/4" (DN20), Application Water	2244
3	V5011P1004	2-way, 1" (DN25), Application Water	1277
4	V5011P1012	2-way, 1 1/4" (DN32), Application Water	1139
5	V5011P1020	2-way, 1 1/2" (DN40), Application Water	1586
6	V5011P1038	2-way, 2" (DN50), Application Water	1863
7	V5211F1004	2-way, 2 1/2" (DN65), Application Water	4508
8	V5211F1012	2-way, 3" (DN80), Application Water	5069
9	V5011N1040/U+ML7420A8088-E	2-way, 1/2" (DN15), Application Water	4099
10	V5011N1057/U+ML7420A8088-E	2-way, 3/4" (DN20), Application Water	3739
11	V5011P1004+ML7420A8088-E	2-way, 1" (DN25), Application Water	2773
12	V5011P1012+ML7420A8088-E	2-way, 1 1/4" (DN32), Application Water	2635
13	V5011P1020+ML7420A8088-E	2-way, 1 1/2" (DN40), Application Water	3082
14	V5011P1038+ML7420A8088-E	2-way, 2" (DN50), Application Water	3359
15	V5211F1004+ML7420A8088-E	2-way, 2 1/2" (DN65), Application Water	6003
16	V5211F1012+ML7420A8088-E	2-way, 3" (DN80), Application Water	6565
17	V5011N1040/U+ML8824A0620	2-way, 1/2" (DN15), Application Water	4188
18	V5011N1057/U+ML8824A0620	2-way, 3/4" (DN20), Application Water	3829
19	V5011P1004+ML8824A0620	2-way, 1" (DN25), Application Water	2863
20	V5011P1012+ML8824A0620	2-way, 1 1/4" (DN32), Application Water	2725
21	V5011P1020+ML8824A0620	2-way, 1 1/2" (DN40), Application Water	3171
22	V5011P1038+ML8824A0620	2-way, 2" (DN50), Application Water	3449
23	V5211F1004+ML8824A0620	2-way, 2 1/2" (DN65), Application Water	6093
24	V5211F1012+ML8824A0620	2-way, 3" (DN80), Application Water	6654
三通水阀		
1	V5013N1048/U	3-way, 1/2"(DN15), Cv 4.7, Mixing, NPT thread, stem up to close A-AB	3250
2	V5013N1055/U	3-way, 3/4"(DN20), Cv 7.3, Mixing, NPT thread, stem up to close A-AB	2434
3	V5013N1063/U	3-way, 1"(DN25), Cv 11.7, Mixing, NPT thread, stem up to close A-AB	2400
4	V5013P1002	3-way, 1 1/4" (DN32)	2400
5	V5013P1010	3-way, 1 1/2" (DN40)	2400
6	V5013P1028	3-way, 2" (DN50)	2901
7	V5013N1048/U+ML7420A8088-E	3-way, 1/2"(DN15), Cv 4.7, Mixing, NPT thread, stem up to close A-AB	4746
8	V5013N1055/U+ML7420A8088-E	3-way, 3/4"(DN20), Cv 7.3, Mixing, NPT thread, stem up to close A-AB	3930
9	V5013N1063/U+ML7420A8088-E	3-way, 1"(DN25), Cv 11.7, Mixing, NPT thread, stem up to close A-AB	4100
10	V5013P1002+ML7421A8035-E	3-way, 1 1/4" (DN32)	4300
11	V5013P1010+ML7421A8035-E	3-way, 1 1/2" (DN40)	4613
12	V5013P1028+ML7421A8035-E	3-way, 2" (DN50)	5114
